column,outlier_count,outlier_ratio,median,mad
au12_activation_frequency__min,0,0.0,0.0,0.0
au12_activation_frequency__std,0,0.0,0.0916569991651768,0.07709190023949566
au4_duration_ratio__std,0,0.0,0.0114661308928404,0.00575794367502
au1_au2_peak_intensity__min,0,0.0,0.0248679292313923,0.013782030768607696
au1_au2_peak_intensity__mean,0,0.0,0.0331405376620563,0.005283517170488203
au12_mean_amplitude__mean,0,0.0,0.0464852825119136,0.01180923459962755
patient_id,0,0.0,90000.5,45000.0
au12_mean_amplitude__max,0,0.0,0.05310559,0.00989557
au12_mean_amplitude__min,0,0.0,0.0362058801185134,0.013128249881486594
au12_mean_amplitude__range,0,0.0,0.0216852599999999,0.007661441126895951
au12_activation_frequency__range,0,0.0,0.3929126902868181,0.3393139415176457
near_zero_au_activation_ratio__max,0,0.0,1.0,0.0
near_zero_au_activation_ratio__min,0,0.0,0.93564041,0.043285017351174904
near_zero_au_activation_ratio__std,0,0.0,0.014647441914797,0.012308724244034699
facial_transition_frequency__range,0,0.0,0.3999999999999999,0.29999999999999993
facial_transition_frequency__min,0,0.0,0.0,0.0
facial_transition_frequency__max,0,0.0,0.5,0.2
facial_transition_frequency__mean,0,0.0,0.33456097135697127,0.09431894789779213
facial_transition_frequency__std,0,0.0,0.10174736961197665,0.054704230163160936
facial_emotional_range__range,0,0.0,0.00486456,0.00405399999999995
facial_emotional_range__max,0,0.0,0.01700155,0.0062905800000000005
au20_activation_rate__max,0,0.0,0.0006597215074912,0.0006597215074912
au20_activation_rate__range,0,0.0,0.0006597215074912,0.0006597215074912
lip_compression_frequency__min,0,0.0,0.0,0.0
au20_activation_rate__min,0,0.0,0.0,0.0
au20_activation_rate__mean,0,0.0,0.00011973284299415,0.00011973284299415
au20_activation_rate__std,0,0.0,0.00019506602204465,0.00019506602204465
au4_duration_ratio__range,0,0.0,0.050038036479685646,0.03305982233809025
head_motion_energy__mean,0,0.0,4.63684602410501,3.6571399106724263
mean_head_velocity__mean,0,0.0,0.10801114405389785,0.046830740955800046
head_velocity_peak__max,0,0.0,7.505427143024556,2.4495992969754434
near_zero_au_activation_ratio__range,0,0.0,0.05351170499999995,0.047491645000000055
head_velocity_peak__range,0,0.0,7.074569410621464,4.593237652015116
posture_rigidity_index__range,0,0.0,0.2008369847201201,0.19120250981724318
posture_rigidity_index__min,0,0.0,0.97453128,0.09644972951141251
gesture_frequency__min,0,0.0,0.9,0.23511026679451474
gesture_frequency__max,0,0.0,1.0,0.45566007317916424
head_velocity_peak__std,0,0.0,1.7252029975221808,0.9270501257812966
motion_energy_floor_score__mean,0,0.0,0.7706049881575574,0.12393485026903961
motion_energy_floor_score__min,0,0.0,0.7199350420404576,0.20393504204045754
motion_energy_floor_score__std,0,0.0,0.0504653330258951,0.03966915371926895
landmark_displacement_mean__mean,0,0.0,0.0051545835321883,0.0019310186294469003
motion_energy_floor_score__range,0,0.0,0.20066667,0.16282613436175108
blink_cluster_density__std,0,0.0,0.0460952201910871,0.0350761420182451
blink_duration__range,0,0.0,0.1572027876321064,0.1398902076321065
blink_duration__std,0,0.0,0.037081543585264304,0.03416067513553521
blink_duration__max,0,0.0,0.3998620540322821,0.05485426596771792
posture_rigidity_index__std,0,0.0,0.048792366185171354,0.03779523918350805
gesture_frequency__mean,0,0.0,0.9759762302262219,0.49272376212443214
response_latency_mean__min,0,0.0,0.0,0.0
baseline_eye_openness__min,0,0.0,0.2039990558151673,0.05201187508766661
blink_cluster_density__max,0,0.0,0.2751307990878462,0.09179746908784622
eye_contact_ratio__std,0,0.0,0.0401173662091492,0.015156025456083251
gaze_shift_frequency__max,0,0.0,1.0,0.0
blink_cluster_density__range,0,0.0,0.18107903799760783,0.14774570799760783
downward_gaze_frequency__std,0,0.0,0.05157260354566175,0.044894492214202046
eye_contact_ratio__range,0,0.0,0.1507874844089309,0.11387281440893099
downward_gaze_frequency__max,0,0.0,1.0,0.0
downward_gaze_frequency__range,0,0.0,0.192216919448778,0.192216919448778
nod_onset_latency__range,0,0.0,3.0416469971616467,2.647281727161647
nod_onset_latency__std,0,0.0,0.7200943404795082,0.48839353502816685
nod_onset_latency__min,0,0.0,0.0,0.0
nod_onset_latency__max,0,0.0,3.098705082161647,1.230614649775288
nod_onset_latency__mean,0,0.0,2.0315624947708653,0.4379131374037075
speech_onset_delay__min,0,0.0,0.0,0.0
speech_onset_delay__max,0,0.0,156.03895330188658,109.51258805770988
speech_onset_delay__range,0,0.0,153.80416679094327,129.3614445091372
speech_onset_delay__std,0,0.0,43.81806433500123,22.961436956414914
