group_feature,lower,upper,rows_clipped,low_q,high_q
bipolar:au12_activation_frequency__slope,-0.04723899558163526,0.04885214915761899,600,0.01,0.99
bipolar:au15_mean_amplitude__mean,0.01730558608852579,0.025111476736444666,300,0.005,0.995
bipolar:au15_mean_amplitude__std,0.000756325058804396,0.003765537259267672,300,0.005,0.995
bipolar:au15_mean_amplitude__min,0.01308937,0.02109895,125,0.005,0.995
bipolar:au15_mean_amplitude__max,0.019875162817253857,0.0324289,150,0.005,0.995
bipolar:au15_mean_amplitude__range,0.0034864197428505677,0.0171140599999999,285,0.005,0.995
bipolar:au15_mean_amplitude__slope,-0.00324587832697939,0.0032171083159685814,600,0.01,0.99
bipolar:au4_mean_activation__mean,0.9466497318867758,0.9920132156992546,300,0.005,0.995
bipolar:au4_mean_activation__std,0.0019460551639104032,0.018334386750412324,300,0.005,0.995
bipolar:au4_mean_activation__min,0.92530816,0.98071421,103,0.005,0.995
bipolar:au4_mean_activation__max,0.9577372242665779,0.99917598,150,0.005,0.995
bipolar:au4_mean_activation__range,0.002498612587380749,0.060491980486758246,300,0.005,0.995
bipolar:au4_mean_activation__slope,-0.0105915395235629,0.012623929293443834,588,0.01,0.99
bipolar:au4_duration_ratio__mean,0.9590886740912894,0.9874243584613687,300,0.005,0.995
bipolar:au4_duration_ratio__std,0.0001381076439928575,0.005208813140234239,300,0.005,0.995
bipolar:au4_duration_ratio__min,0.95860266,0.9859067631213766,150,0.005,0.995
bipolar:au4_duration_ratio__max,0.9598299251738045,0.98952996,252,0.005,0.995
bipolar:au4_duration_ratio__range,0.0,0.014642997560605567,150,0.005,0.995
bipolar:au4_duration_ratio__slope,-0.002615129945387691,0.0032970096062422787,600,0.01,0.99
bipolar:au1_au2_peak_intensity__mean,0.040837259757583885,0.05418180882790323,300,0.005,0.995
bipolar:au1_au2_peak_intensity__std,0.0004487659598756925,0.005959234686026625,300,0.005,0.995
bipolar:au1_au2_peak_intensity__min,0.03757286,0.051164083561181205,150,0.005,0.995
bipolar:au1_au2_peak_intensity__max,0.04179691,0.05859781,149,0.005,0.995
bipolar:au1_au2_peak_intensity__range,0.0,0.0182476,143,0.005,0.995
bipolar:au1_au2_peak_intensity__slope,-0.004064051880751677,0.00351249649463482,600,0.01,0.99
bipolar:overall_au_variance__mean,0.001515740724314027,0.008222045325918534,300,0.005,0.995
bipolar:overall_au_variance__std,3.1239148936380695e-05,0.0028188765703334047,300,0.005,0.995
bipolar:overall_au_variance__min,0.00082642,0.007880839312997523,164,0.005,0.995
bipolar:overall_au_variance__max,0.00170209,0.00857082,134,0.005,0.995
bipolar:overall_au_variance__range,0.0,0.00621020826217363,150,0.005,0.995
bipolar:overall_au_variance__slope,-0.001356810081188758,0.00127947329423415,600,0.01,0.99
