,count,mean,std,min,1%,5%,50%,95%,99%,max,missing_count,missing_ratio,zero_ratio,n_unique,iqr
blink_cluster_density__min,180000.0,0.09156409102558746,0.12728276649967374,0.0,0.0,0.0,0.0092540321322251,0.38333333,0.46,0.5,0,0.0,0.4947944444444444,2894,
blink_cluster_density__range,180000.0,0.17087675201673921,0.1494682635751578,0.0,0.0,0.0,0.2,0.3955934123972179,0.406790452172947,0.406790452172947,0,0.0,0.13837222222222223,5582,
blink_cluster_density__slope,180000.0,0.0003682887506968846,0.005240708999686428,-0.0530701603262328,-0.015294414938002206,-0.008146873850208933,0.0,0.010242233057777533,0.018521112560437196,0.054467112942116,0,0.0,0.048716666666666665,169261,
blink_cluster_density__std,180000.0,0.0396956947352053,0.03320505730575848,0.0,0.0,3.482732488029772e-18,0.04741761118986525,0.091526529245721,0.095048545853717,0.1045083511107224,0,0.0,0.047844444444444446,159554,
blink_duration__max,180000.0,0.4102689459173892,0.10180767422592056,0.14749177,0.22997162805191348,0.28188194,0.3998620540322821,0.611717624707214,0.6516779095845987,0.6516779095845987,0,0.0,0.0,7909,
blink_duration__mean,180000.0,0.33681867464979043,0.05954925187043211,0.0397893942435107,0.1998381,0.27455726262354413,0.30957415505542885,0.4497231700000001,0.4879288343015763,0.55444352,0,0.0,0.0,153121,
blink_duration__min,180000.0,0.262403507367708,0.08732237395060391,0.0,0.16574508,0.1689638982210674,0.2371666102231483,0.44887674,0.4855608,0.55444352,0,0.0,0.0013166666666666667,7607,
blink_duration__range,180000.0,0.14786543854968118,0.14469235899551058,0.0,0.0,0.0,0.1579111270534851,0.4170611510290316,0.4795459218872588,0.4795459218872588,0,0.0,0.1661,18798,
blink_duration__slope,180000.0,0.00018234620343088502,0.005639377305637886,-0.0434820352692429,-0.008863948519876423,-0.002862304051724005,-7.850320928315374e-23,0.0015645510186515,0.023975978924024446,0.1708007018872154,0,0.0,0.054266666666666664,168271,
blink_duration__std,180000.0,0.029401246407947484,0.028374859478631734,0.0,0.0,0.0,0.037081543585264304,0.07738952466363706,0.08251903076459141,0.1576897291786379,0,0.0,0.05216666666666667,159512,
blink_rate__max,180000.0,10.524439469657844,11.619388912281009,0.6478651468151555,0.6653783590475257,0.6838010308563607,1.0260264925772526,35.0,38.0,38.0,0,0.0,0.0,3715,
blink_rate__mean,180000.0,9.943236878948998,11.093192161225781,0.4120938844233491,0.5843810177683645,0.5889336472917314,1.0,33.496853102759296,36.10936198875157,37.92530866366022,0,0.0,0.0,122042,
blink_rate__min,180000.0,9.107600911087799,10.860556523183574,0.0,0.0,0.0,1.0,32.0,35.0,37.0,0,0.0,0.11884444444444445,3935,
blink_rate__range,180000.0,1.416838558570045,1.4225787686855471,0.0,0.0,0.0,0.991118194884042,4.0,6.6,12.12727179587186,0,0.0,0.16226666666666667,6877,
blink_rate__slope,180000.0,0.032404687655593484,0.36022960005364846,-3.4408375390290376,-0.9358474077940852,-0.5708231168992335,0.0,0.715650392911494,1.1709598896041775,3.266185800330293,0,0.0,0.15132222222222222,151120,
blink_rate__std,180000.0,0.37081134324915854,0.46070942724238817,0.0,0.0,0.0,0.10356032493868975,1.3268721516637576,1.953054307844914,2.8343317410689264,0,0.0,0.15097222222222223,121848,
downward_gaze_frequency__max,180000.0,1.046344611799812,0.5569583139605856,0.01666667,0.03333333,0.11666667,1.0,2.15666667,2.4,2.6,0,0.0,0.0,9127,
downward_gaze_frequency__mean,180000.0,1.0008253664923057,0.5461582194565942,0.0129197577202316,0.03333333,0.0999999999999999,0.9596699938034693,2.1030583650172034,2.314834054957725,2.56311770925687,0,0.0,0.0,161165,
downward_gaze_frequency__min,180000.0,0.5971061688769018,0.701862081362365,0.0,0.0,0.0,0.26666667,2.04666667,2.26666667,2.532558176686021,0,0.0,0.2246,9576,
downward_gaze_frequency__range,180000.0,0.44923844292291026,0.4192925360619628,0.0,0.0,0.0,0.192216919448778,1.0,1.0,1.0,0,0.0,0.07828333333333333,15720,
downward_gaze_frequency__slope,180000.0,0.0008616060391234857,0.014507695416573898,-0.1039000263685056,-0.044415265597072706,-0.02292005206547662,2.0287933720431876e-05,0.026777947921670247,0.04955719631983026,0.1238698929591679,0,0.0,0.025066666666666668,173514,
downward_gaze_frequency__std,180000.0,0.07897841462851811,0.06676439968883888,0.0,0.0,2.80840553998428e-17,0.05157260354566175,0.20231297444161908,0.22521587969030818,0.2810965658305799,0,0.0,0.025744444444444445,164619,
extended_silence_ratio__max,180000.0,0.6992872965794568,0.4264049062116333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0.17805,1127,
extended_silence_ratio__mean,180000.0,0.4309602811140548,0.31458165564405094,0.0,0.0,0.0,0.388956978153996,1.0,1.0,1.0,0,0.0,0.1869222222222222,105361,
extended_silence_ratio__min,180000.0,0.18511499328398567,0.3537799628755382,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0,0.6951055555555555,773,
extended_silence_ratio__range,180000.0,0.514172303295471,0.4956289659663721,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0.36916666666666664,1887,
